Municipios;Poblacion;Edad;Año;Plazas titularidad privada;Plazas titularidad pública;plazas
Total;1089051;65 -100 años y mas;2022;40717;11191;51908
 Acebeda, La;300;65 -100 años y mas;2022;0;0;0
 Ajalvir;5410;65 -100 años y mas;2022;0;0;0
 Alameda del Valle;610;65 -100 años y mas;2022;0;0;0
 Álamo, El;18910;65 -100 años y mas;2022;638;0;638
 Alcalá de Henares;27475;65 -100 años y mas;2022;978;653;1631
 Alcobendas;28096;65 -100 años y mas;2022;887;201;1088
 Alcorcón;33513;65 -100 años y mas;2022;470;218;688
 Aldea del Fresno;6300;65 -100 años y mas;2022;165;0;165
 Algete;29150;65 -100 años y mas;2022;240;0;240
 Alpedrete;21280;65 -100 años y mas;2022;122;0;122
 Ambite;1420;65 -100 años y mas;2022;0;0;0
 Anchuelo;1840;65 -100 años y mas;2022;0;0;0
 Aranjuez;15997;65 -100 años y mas;2022;268;464;732
 Arganda del Rey;23067;65 -100 años y mas;2022;25;409;434
 Atazar, El;210;65 -100 años y mas;2022;0;0;0
 Batres;2860;65 -100 años y mas;2022;0;0;0
 Becerril de la Sierra;10000;65 -100 años y mas;2022;51;0;51
 Belmonte de Tajo;3150;65 -100 años y mas;2022;49;0;49
 Berrueco, El;1880;65 -100 años y mas;2022;0;110;110
 Berzosa del Lozoya;620;65 -100 años y mas;2022;0;21;21
 Boadilla del Monte;22089;65 -100 años y mas;2022;509;0;509
 Boalo, El;10130;65 -100 años y mas;2022;45;0;45
 Braojos;430;65 -100 años y mas;2022;0;0;0
 Brea de Tajo;1550;65 -100 años y mas;2022;0;0;0
 Brunete;14570;65 -100 años y mas;2022;263;0;263
 Buitrago del Lozoya;3730;65 -100 años y mas;2022;90;50;140
 Bustarviejo;4290;65 -100 años y mas;2022;51;0;51
 Cabanillas de la Sierra;1280;65 -100 años y mas;2022;0;0;0
 Cabrera, La;4870;65 -100 años y mas;2022;175;0;175
 Cadalso de los Vidrios;6880;65 -100 años y mas;2022;112;0;112
 Camarma de Esteruelas;8640;65 -100 años y mas;2022;18;0;18
 Campo Real;8840;65 -100 años y mas;2022;0;66;66
 Canencia;1310;65 -100 años y mas;2022;0;0;0
 Carabaña;3770;65 -100 años y mas;2022;49;0;49
 Casarrubuelos;4550;65 -100 años y mas;2022;0;0;0
 Cenicientos;5570;65 -100 años y mas;2022;82;0;82
 Cercedilla;13210;65 -100 años y mas;2022;260;0;260
 Cervera de Buitrago;500;65 -100 años y mas;2022;0;0;0
 Chapinería;3970;65 -100 años y mas;2022;76;0;76
 Chinchón;11220;65 -100 años y mas;2022;139;0;139
 Ciempozuelos;27803;65 -100 años y mas;2022;1051;78;1129
 Cobeña;7040;65 -100 años y mas;2022;247;0;247
 Collado Mediano;11420;65 -100 años y mas;2022;31;0;31
 Collado Villalba;22901;65 -100 años y mas;2022;264;140;404
 Colmenar de Oreja;15800;65 -100 años y mas;2022;99;0;99
 Colmenar del Arroyo;3700;65 -100 años y mas;2022;106;0;106
 Colmenar Viejo;26466;65 -100 años y mas;2022;590;393;983
 Colmenarejo;12070;65 -100 años y mas;2022;33;0;33
 Corpa;1270;65 -100 años y mas;2022;0;0;0
 Coslada;30902;65 -100 años y mas;2022;322;0;322
 Cubas de la Sagra;7060;65 -100 años y mas;2022;158;0;158
 Daganzo de Arriba;8900;65 -100 años y mas;2022;0;0;0
 Escorial, El;31280;65 -100 años y mas;2022;290;0;290
 Estremera;3290;65 -100 años y mas;2022;82;0;82
 Fresnedillas de la Oliva;2330;65 -100 años y mas;2022;0;0;0
 Fresno de Torote;3540;65 -100 años y mas;2022;0;0;0
 Fuenlabrada;39609;65 -100 años y mas;2022;299;63;362
 Fuente el Saz de Jarama;10180;65 -100 años y mas;2022;126;0;126
 Fuentidueña de Tajo;4300;65 -100 años y mas;2022;53;0;53
 Galapagar;24715;65 -100 años y mas;2022;349;0;349
 Garganta de los Montes;870;65 -100 años y mas;2022;0;0;0
 Gargantilla del Lozoya y Pinilla de Buitrago;780;65 -100 años y mas;2022;0;0;0
 Gascones;370;65 -100 años y mas;2022;0;0;0
 Getafe;31386;65 -100 años y mas;2022;709;134;843
 Griñón;16500;65 -100 años y mas;2022;308;78;386
 Guadalix de la Sierra;9780;65 -100 años y mas;2022;0;58;58
 Guadarrama;29330;65 -100 años y mas;2022;869;0;869
 Hiruela, La;200;65 -100 años y mas;2022;0;0;0
 Horcajo de la Sierra-Aoslos;440;65 -100 años y mas;2022;0;0;0
 Horcajuelo de la Sierra;270;65 -100 años y mas;2022;0;0;0
 Hoyo de Manzanares;13080;65 -100 años y mas;2022;0;0;0
 Humanes de Madrid;20100;65 -100 años y mas;2022;180;0;180
 Leganés;45710;65 -100 años y mas;2022;948;487;1435
 Loeches;8000;65 -100 años y mas;2022;0;0;0
 Lozoya;1640;65 -100 años y mas;2022;0;0;0
 Lozoyuela-Navas-Sieteiglesias;2890;65 -100 años y mas;2022;66;0;66
 Madarcos;180;65 -100 años y mas;2022;0;0;0
 Madrid;568632;65 -100 años y mas;2022;14104;4531;18635
 Majadahonda;26757;65 -100 años y mas;2022;335;130;465
 Manzanares el Real;12120;65 -100 años y mas;2022;139;0;139
 Meco;13500;65 -100 años y mas;2022;147;0;147
 Mejorada del Campo;21104;65 -100 años y mas;2022;72;0;72
 Miraflores de la Sierra;9870;65 -100 años y mas;2022;0;28;28
 Molar, El;11560;65 -100 años y mas;2022;90;0;90
 Molinos, Los;9210;65 -100 años y mas;2022;49;0;49
 Montejo de la Sierra;1050;65 -100 años y mas;2022;0;58;58
 Moraleja de Enmedio;7580;65 -100 años y mas;2022;103;0;103
 Moralzarzal;18860;65 -100 años y mas;2022;170;0;170
 Morata de Tajuña;14410;65 -100 años y mas;2022;400;0;400
 Móstoles;49625;65 -100 años y mas;2022;473;255;728
 Navacerrada;6200;65 -100 años y mas;2022;0;0;0
 Navalafuente;2000;65 -100 años y mas;2022;0;0;0
 Navalagamella;3790;65 -100 años y mas;2022;0;0;0
 Navalcarnero;28878;65 -100 años y mas;2022;691;225;916
 Navarredonda y San Mamés;420;65 -100 años y mas;2022;0;0;0
 Navas del Rey;5910;65 -100 años y mas;2022;68;0;68
 Nuevo Baztán;9550;65 -100 años y mas;2022;0;0;0
 Olmeda de las Fuentes;510;65 -100 años y mas;2022;0;0;0
 Orusco de Tajuña;2760;65 -100 años y mas;2022;152;0;152
 Paracuellos de Jarama;21820;65 -100 años y mas;2022;170;0;170
 Parla;29391;65 -100 años y mas;2022;429;64;493
 Patones;1610;65 -100 años y mas;2022;0;90;90
 Pedrezuela;6800;65 -100 años y mas;2022;181;0;181
 Pelayos de la Presa;5680;65 -100 años y mas;2022;148;0;148
 Perales de Tajuña;4920;65 -100 años y mas;2022;0;0;0
 Pezuela de las Torres;1840;65 -100 años y mas;2022;0;0;0
 Pinilla del Valle;540;65 -100 años y mas;2022;0;0;0
 Pinto;23008;65 -100 años y mas;2022;304;60;364
 Piñuécar-Gandullas;380;65 -100 años y mas;2022;0;0;0
 Pozuelo de Alarcón;24669;65 -100 años y mas;2022;1114;0;1114
 Pozuelo del Rey;1250;65 -100 años y mas;2022;0;0;0
 Prádena del Rincón;340;65 -100 años y mas;2022;0;0;0
 Puebla de la Sierra;210;65 -100 años y mas;2022;0;0;0
 Puentes Viejas;1470;65 -100 años y mas;2022;0;0;0
 Quijorna;4710;65 -100 años y mas;2022;110;0;110
 Rascafría;4610;65 -100 años y mas;2022;0;0;0
 Redueña;560;65 -100 años y mas;2022;0;0;0
 Ribatejada;1480;65 -100 años y mas;2022;37;0;37
 Rivas-Vaciamadrid;23568;65 -100 años y mas;2022;216;0;216
 Robledillo de la Jara;310;65 -100 años y mas;2022;0;13;13
 Robledo de Chavela;8990;65 -100 años y mas;2022;136;0;136
 Robregordo;230;65 -100 años y mas;2022;0;0;0
 Rozas de Madrid, Las;18038;65 -100 años y mas;2022;1351;504;1855
 Rozas de Puerto Real;1670;65 -100 años y mas;2022;52;0;52
 San Agustín del Guadalix;15140;65 -100 años y mas;2022;180;0;180
 San Fernando de Henares;25950;65 -100 años y mas;2022;0;260;260
 San Lorenzo de El Escorial;33820;65 -100 años y mas;2022;436;0;436
 San Martín de la Vega;21420;65 -100 años y mas;2022;80;0;80
 San Martín de Valdeiglesias;17890;65 -100 años y mas;2022;296;122;418
 San Sebastián de los Reyes;27474;65 -100 años y mas;2022;329;140;469
 Santa María de la Alameda;2870;65 -100 años y mas;2022;0;0;0
 Santorcaz;1770;65 -100 años y mas;2022;0;0;0
 Santos de la Humosa, Los;3050;65 -100 años y mas;2022;0;0;0
 Serna del Monte, La;160;65 -100 años y mas;2022;0;0;0
 Serranillos del Valle;5460;65 -100 años y mas;2022;228;0;228
 Sevilla la Nueva;11640;65 -100 años y mas;2022;478;0;478
 Somosierra;210;65 -100 años y mas;2022;0;0;0
 Soto del Real;15590;65 -100 años y mas;2022;140;0;140
 Talamanca de Jarama;5700;65 -100 años y mas;2022;277;0;277
 Tielmes;4730;65 -100 años y mas;2022;142;0;142
 Titulcia;2390;65 -100 años y mas;2022;0;0;0
 Torrejón de Ardoz;28356;65 -100 años y mas;2022;444;240;684
 Torrejón de la Calzada;11020;65 -100 años y mas;2022;140;0;140
 Torrejón de Velasco;6250;65 -100 años y mas;2022;0;0;0
 Torrelaguna;8370;65 -100 años y mas;2022;0;94;94
 Torrelodones;25392;65 -100 años y mas;2022;654;0;654
 Torremocha de Jarama;3130;65 -100 años y mas;2022;0;120;120
 Torres de la Alameda;11620;65 -100 años y mas;2022;146;112;258
 Tres Cantos;21194;65 -100 años y mas;2022;423;0;423
 Valdaracete;1520;65 -100 años y mas;2022;0;0;0
 Valdeavero;2450;65 -100 años y mas;2022;0;0;0
 Valdelaguna;1820;65 -100 años y mas;2022;0;0;0
 Valdemanco;2240;65 -100 años y mas;2022;0;0;0
 Valdemaqueda;1800;65 -100 años y mas;2022;0;0;0
 Valdemorillo;19370;65 -100 años y mas;2022;0;0;0
 Valdemoro;17030;65 -100 años y mas;2022;660;134;794
 Valdeolmos-Alalpardo;5090;65 -100 años y mas;2022;0;0;0
 Valdepiélagos;1000;65 -100 años y mas;2022;0;0;0
 Valdetorres de Jarama;7750;65 -100 años y mas;2022;78;0;78
 Valdilecha;4550;65 -100 años y mas;2022;0;0;0
 Valverde de Alcalá;890;65 -100 años y mas;2022;0;0;0
 Velilla de San Antonio;12580;65 -100 años y mas;2022;0;0;0
 Vellón, El;3430;65 -100 años y mas;2022;0;0;0
 Venturada;3330;65 -100 años y mas;2022;23;0;23
 Villa del Prado;12630;65 -100 años y mas;2022;0;120;120
 Villaconejos;6570;65 -100 años y mas;2022;0;0;0
 Villalbilla;15870;65 -100 años y mas;2022;134;0;134
 Villamanrique de Tajo;1690;65 -100 años y mas;2022;0;0;0
 Villamanta;5390;65 -100 años y mas;2022;336;0;336
 Villamantilla;1770;65 -100 años y mas;2022;20;0;20
 Villanueva de la Cañada;27170;65 -100 años y mas;2022;508;0;508
 Villanueva de Perales;2290;65 -100 años y mas;2022;0;0;0
 Villanueva del Pardillo;15810;65 -100 años y mas;2022;122;0;122
 Villar del Olmo;3080;65 -100 años y mas;2022;0;0;0
 Villarejo de Salvanés;12890;65 -100 años y mas;2022;0;0;0
 Villaviciosa de Odón;17823;65 -100 años y mas;2022;179;268;447
 Villavieja del Lozoya;560;65 -100 años y mas;2022;0;0;0
 Zarzalejo;3030;65 -100 años y mas;2022;81;0;81
