Sexo	Provincias	Municipios	Edad (grupos quinquenales)	Periodo	Total
Total	28 Madrid		De 65 a 69 años	1 de enero de 2022	329.303
Total	28 Madrid		De 70 a 74 años  	1 de enero de 2022	294.514
Total	28 Madrid		De 75 a 79 años  	1 de enero de 2022	242.218
Total	28 Madrid		De 80 a 84 años  	1 de enero de 2022	163.620
Total	28 Madrid		De 85 a 89 años  	1 de enero de 2022	126.636
Total	28 Madrid		De 90 a 94 años  	1 de enero de 2022	60.952
Total	28 Madrid		De 95 a 99 años  	1 de enero de 2022	16.451
Total	28 Madrid		100 y más años	1 de enero de 2022	2.615
Total	28 Madrid	28001 Acebeda, La	De 65 a 69 años	1 de enero de 2022	11
Total	28 Madrid	28001 Acebeda, La	De 70 a 74 años  	1 de enero de 2022	12
Total	28 Madrid	28001 Acebeda, La	De 75 a 79 años  	1 de enero de 2022	1
Total	28 Madrid	28001 Acebeda, La	De 80 a 84 años  	1 de enero de 2022	1
Total	28 Madrid	28001 Acebeda, La	De 85 a 89 años  	1 de enero de 2022	2
Total	28 Madrid	28001 Acebeda, La	De 90 a 94 años  	1 de enero de 2022	2
Total	28 Madrid	28001 Acebeda, La	De 95 a 99 años  	1 de enero de 2022	1
Total	28 Madrid	28001 Acebeda, La	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28002 Ajalvir	De 65 a 69 años	1 de enero de 2022	152
Total	28 Madrid	28002 Ajalvir	De 70 a 74 años  	1 de enero de 2022	132
Total	28 Madrid	28002 Ajalvir	De 75 a 79 años  	1 de enero de 2022	102
Total	28 Madrid	28002 Ajalvir	De 80 a 84 años  	1 de enero de 2022	69
Total	28 Madrid	28002 Ajalvir	De 85 a 89 años  	1 de enero de 2022	48
Total	28 Madrid	28002 Ajalvir	De 90 a 94 años  	1 de enero de 2022	25
Total	28 Madrid	28002 Ajalvir	De 95 a 99 años  	1 de enero de 2022	11
Total	28 Madrid	28002 Ajalvir	100 y más años	1 de enero de 2022	2
Total	28 Madrid	28003 Alameda del Valle	De 65 a 69 años	1 de enero de 2022	19
