Total Nacional	Comunidades y Ciudades Autónomas	Edad (grupos quinquenales)	Españoles/Extranjeros	Sexo	Año	Total
Total Nacional		65-69 años	TOTAL	Ambos sexos	2022	2.548.001
Total Nacional		70-74 años	TOTAL	Ambos sexos	2022	2.225.627
Total Nacional		75-79 años	TOTAL	Ambos sexos	2022	1.840.899
Total Nacional		80-84 años	TOTAL	Ambos sexos	2022	1.256.786
Total Nacional		85-89 años	TOTAL	Ambos sexos	2022	1.004.545
Total Nacional		90-94 años	TOTAL	Ambos sexos	2022	464.255
Total Nacional		95-99 años	TOTAL	Ambos sexos	2022	119.258
Total Nacional		100 años y más	TOTAL	Ambos sexos	2022	19.639
Total Nacional	01 Andalucía	65-69 años	TOTAL	Ambos sexos	2022	438.137
Total Nacional	01 Andalucía	70-74 años	TOTAL	Ambos sexos	2022	367.290
Total Nacional	01 Andalucía	75-79 años	TOTAL	Ambos sexos	2022	301.419
Total Nacional	01 Andalucía	80-84 años	TOTAL	Ambos sexos	2022	200.271
Total Nacional	01 Andalucía	85-89 años	TOTAL	Ambos sexos	2022	144.390
Total Nacional	01 Andalucía	90-94 años	TOTAL	Ambos sexos	2022	59.384
Total Nacional	01 Andalucía	95-99 años	TOTAL	Ambos sexos	2022	13.172
Total Nacional	01 Andalucía	100 años y más	TOTAL	Ambos sexos	2022	2.925
Total Nacional	02 Aragón	65-69 años	TOTAL	Ambos sexos	2022	74.669
Total Nacional	02 Aragón	70-74 años	TOTAL	Ambos sexos	2022	65.322
Total Nacional	02 Aragón	75-79 años	TOTAL	Ambos sexos	2022	55.970
Total Nacional	02 Aragón	80-84 años	TOTAL	Ambos sexos	2022	38.918
Total Nacional	02 Aragón	85-89 años	TOTAL	Ambos sexos	2022	35.213
Total Nacional	02 Aragón	90-94 años	TOTAL	Ambos sexos	2022	17.595
Total Nacional	02 Aragón	95-99 años	TOTAL	Ambos sexos	2022	4.559
Total Nacional	02 Aragón	100 años y más	TOTAL	Ambos sexos	2022	688
Total Nacional	03 Asturias, Principado de	65-69 años	TOTAL	Ambos sexos	2022	72.662
Total Nacional	03 Asturias, Principado de	70-74 años	TOTAL	Ambos sexos	2022	63.599
Total Nacional	03 Asturias, Principado de	75-79 años	TOTAL	Ambos sexos	2022	51.379
Total Nacional	03 Asturias, Principado de	80-84 años	TOTAL	Ambos sexos	2022	33.460
Total Nacional	03 Asturias, Principado de	85-89 años	TOTAL	Ambos sexos	2022	31.394
Total Nacional	03 Asturias, Principado de	90-94 años	TOTAL	Ambos sexos	2022	15.568
Total Nacional	03 Asturias, Principado de	95-99 años	TOTAL	Ambos sexos	2022	4.108
Total Nacional	03 Asturias, Principado de	100 años y más	TOTAL	Ambos sexos	2022	686
Total Nacional	04 Balears, Illes	65-69 años	TOTAL	Ambos sexos	2022	55.921
Total Nacional	04 Balears, Illes	70-74 años	TOTAL	Ambos sexos	2022	47.553
Total Nacional	04 Balears, Illes	75-79 años	TOTAL	Ambos sexos	2022	37.543
Total Nacional	04 Balears, Illes	80-84 años	TOTAL	Ambos sexos	2022	23.807
Total Nacional	04 Balears, Illes	85-89 años	TOTAL	Ambos sexos	2022	17.379
Total Nacional	04 Balears, Illes	90-94 años	TOTAL	Ambos sexos	2022	7.733
Total Nacional	04 Balears, Illes	95-99 años	TOTAL	Ambos sexos	2022	2.022
Total Nacional	04 Balears, Illes	100 años y más	TOTAL	Ambos sexos	2022	327
Total Nacional	05 Canarias	65-69 años	TOTAL	Ambos sexos	2022	113.101
Total Nacional	05 Canarias	70-74 años	TOTAL	Ambos sexos	2022	91.583
Total Nacional	05 Canarias	75-79 años	TOTAL	Ambos sexos	2022	72.734
Total Nacional	05 Canarias	80-84 años	TOTAL	Ambos sexos	2022	45.620
Total Nacional	05 Canarias	85-89 años	TOTAL	Ambos sexos	2022	33.106
Total Nacional	05 Canarias	90-94 años	TOTAL	Ambos sexos	2022	12.940
Total Nacional	05 Canarias	95-99 años	TOTAL	Ambos sexos	2022	3.013
Total Nacional	05 Canarias	100 años y más	TOTAL	Ambos sexos	2022	770
Total Nacional	06 Cantabria	65-69 años	TOTAL	Ambos sexos	2022	37.234
